This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cl, ln(Reynolds#)
6,0,6,75000,0.9,19,1.757024,11.2252433925184
6,0,6,75000,0.9,20,1.793574,11.2252433925184
6,0,6,125000,0.25,-20,-0.839018,11.7360690162844
6,0,6,125000,0.25,-19,-0.824597,11.7360690162844
6,0,6,125000,0.25,-18,-0.809907,11.7360690162844
6,0,6,125000,0.25,-17,-0.795331,11.7360690162844
6,0,6,125000,0.25,-16,-0.780764,11.7360690162844
6,0,6,125000,0.25,-15,-0.766137,11.7360690162844
6,0,6,125000,0.25,-14,-0.75295,11.7360690162844
6,0,6,125000,0.25,-13,-0.740747,11.7360690162844
6,0,6,125000,0.25,-12,-0.729682,11.7360690162844
6,0,6,125000,0.25,-11,-0.719566,11.7360690162844
6,0,6,125000,0.25,-10,-0.713834,11.7360690162844
6,0,6,125000,0.25,-9,-0.710019,11.7360690162844
6,0,6,125000,0.25,-8,-0.705454,11.7360690162844
6,0,6,125000,0.25,-7,-0.675805,11.7360690162844
6,0,6,125000,0.25,-6,-0.612573,11.7360690162844
6,0,6,125000,0.25,-5,-0.534928,11.7360690162844
6,0,6,125000,0.25,-4,-0.435316,11.7360690162844
6,0,6,125000,0.25,-3,-0.329212,11.7360690162844
6,0,6,125000,0.25,-2,-0.220309,11.7360690162844
6,0,6,125000,0.25,-1,-0.110121,11.7360690162844
6,0,6,125000,0.25,0,0.000606,11.7360690162844
6,0,6,125000,0.25,1,0.111331,11.7360690162844
6,0,6,125000,0.25,2,0.22152,11.7360690162844
6,0,6,125000,0.25,3,0.330417,11.7360690162844
6,0,6,125000,0.25,4,0.436512,11.7360690162844
6,0,6,125000,0.25,5,0.536099,11.7360690162844
6,0,6,125000,0.25,6,0.613331,11.7360690162844
6,0,6,125000,0.25,7,0.680302,11.7360690162844
6,0,6,125000,0.25,8,0.704969,11.7360690162844
6,0,6,125000,0.25,9,0.708284,11.7360690162844
6,0,6,125000,0.25,10,0.711795,11.7360690162844
