This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,75000,0.85,-20,0.537323,11.2252433925184
6,0,6,75000,0.85,-19,0.519684,11.2252433925184
6,0,6,75000,0.85,-18,0.651525,11.2252433925184
6,0,6,75000,0.85,-17,0.60294,11.2252433925184
6,0,6,75000,0.85,-16,0.555368,11.2252433925184
6,0,6,75000,0.85,-15,0.508915,11.2252433925184
6,0,6,75000,0.85,-14,0.463697,11.2252433925184
6,0,6,75000,0.85,-13,0.419644,11.2252433925184
6,0,6,75000,0.85,-12,0.371611,11.2252433925184
6,0,6,75000,0.85,-11,0.306784,11.2252433925184
6,0,6,75000,0.85,-10,0.257343,11.2252433925184
6,0,6,75000,0.85,-9,0.215305,11.2252433925184
6,0,6,75000,0.85,-8,0.178042,11.2252433925184
6,0,6,75000,0.85,-7,0.144991,11.2252433925184
6,0,6,75000,0.85,-6,0.116288,11.2252433925184
6,0,6,75000,0.85,-5,0.091995,11.2252433925184
6,0,6,75000,0.85,-4,0.071437,11.2252433925184
6,0,6,75000,0.85,-3,0.053958,11.2252433925184
6,0,6,75000,0.85,-2,0.038748,11.2252433925184
6,0,6,75000,0.85,-1,0.02416,11.2252433925184
6,0,6,75000,0.85,0,0.01731,11.2252433925184
6,0,6,75000,0.85,1,0.024225,11.2252433925184
6,0,6,75000,0.85,2,0.038819,11.2252433925184
6,0,6,75000,0.85,3,0.054014,11.2252433925184
6,0,6,75000,0.85,4,0.071457,11.2252433925184
6,0,6,75000,0.85,5,0.091928,11.2252433925184
6,0,6,75000,0.85,6,0.116034,11.2252433925184
6,0,6,75000,0.85,7,0.144366,11.2252433925184
6,0,6,75000,0.85,8,0.17684,11.2252433925184
6,0,6,75000,0.85,9,0.213121,11.2252433925184
6,0,6,75000,0.85,10,0.253388,11.2252433925184
6,0,6,75000,0.85,11,0.299297,11.2252433925184
6,0,6,75000,0.85,12,0.366784,11.2252433925184
6,0,6,75000,0.85,13,0.419421,11.2252433925184
6,0,6,75000,0.85,14,0.463561,11.2252433925184
6,0,6,75000,0.85,15,0.508768,11.2252433925184
6,0,6,75000,0.85,16,0.555204,11.2252433925184
6,0,6,75000,0.85,17,0.602763,11.2252433925184
6,0,6,75000,0.85,18,0.651313,11.2252433925184
6,0,6,75000,0.85,19,0.495155,11.2252433925184
6,0,6,75000,0.85,20,0.533197,11.2252433925184
6,0,6,75000,0.9,-20,0.688598,11.2252433925184
6,0,6,75000,0.9,-19,0.641608,11.2252433925184
6,0,6,75000,0.9,-18,0.595241,11.2252433925184
6,0,6,75000,0.9,-17,0.549622,11.2252433925184
6,0,6,75000,0.9,-16,0.504876,11.2252433925184
6,0,6,75000,0.9,-15,0.461141,11.2252433925184
6,0,6,75000,0.9,-14,0.41856,11.2252433925184
6,0,6,75000,0.9,-13,0.377284,11.2252433925184
6,0,6,75000,0.9,-12,0.337468,11.2252433925184
6,0,6,75000,0.9,-11,0.299281,11.2252433925184
6,0,6,75000,0.9,-10,0.262896,11.2252433925184
6,0,6,75000,0.9,-9,0.228518,11.2252433925184
6,0,6,75000,0.9,-8,0.196343,11.2252433925184
6,0,6,75000,0.9,-7,0.166584,11.2252433925184
6,0,6,75000,0.9,-6,0.13947,11.2252433925184
6,0,6,75000,0.9,-5,0.115128,11.2252433925184
6,0,6,75000,0.9,-4,0.089804,11.2252433925184
6,0,6,75000,0.9,-3,0.065485,11.2252433925184
6,0,6,75000,0.9,-2,0.047732,11.2252433925184
6,0,6,75000,0.9,-1,0.036093,11.2252433925184
6,0,6,75000,0.9,0,0.032131,11.2252433925184
6,0,6,75000,0.9,1,0.03611,11.2252433925184
6,0,6,75000,0.9,2,0.047762,11.2252433925184
6,0,6,75000,0.9,3,0.065483,11.2252433925184
6,0,6,75000,0.9,4,0.089759,11.2252433925184
6,0,6,75000,0.9,5,0.115093,11.2252433925184
6,0,6,75000,0.9,6,0.139428,11.2252433925184
6,0,6,75000,0.9,7,0.166541,11.2252433925184
6,0,6,75000,0.9,8,0.196303,11.2252433925184
6,0,6,75000,0.9,9,0.22848,11.2252433925184
6,0,6,75000,0.9,10,0.262854,11.2252433925184
6,0,6,75000,0.9,11,0.299228,11.2252433925184
6,0,6,75000,0.9,12,0.337396,11.2252433925184
6,0,6,75000,0.9,13,0.377187,11.2252433925184
6,0,6,75000,0.9,14,0.418435,11.2252433925184
6,0,6,75000,0.9,15,0.460985,11.2252433925184
6,0,6,75000,0.9,16,0.504684,11.2252433925184
6,0,6,75000,0.9,17,0.549393,11.2252433925184
6,0,6,75000,0.9,18,0.594973,11.2252433925184
6,0,6,75000,0.9,19,0.641297,11.2252433925184
6,0,6,75000,0.9,20,0.688244,11.2252433925184
6,0,6,125000,0.25,-20,0.332247,11.7360690162844
6,0,6,125000,0.25,-19,0.310419,11.7360690162844
6,0,6,125000,0.25,-18,0.28912,11.7360690162844
6,0,6,125000,0.25,-17,0.268436,11.7360690162844
6,0,6,125000,0.25,-16,0.248273,11.7360690162844
6,0,6,125000,0.25,-15,0.228526,11.7360690162844
6,0,6,125000,0.25,-14,0.209546,11.7360690162844
6,0,6,125000,0.25,-13,0.191078,11.7360690162844
