This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.85,19,-0.246848,11.2252433925184
6,0,6,75000,0.85,20,-0.2584,11.2252433925184
6,0,6,75000,0.9,-20,0.37293,11.2252433925184
6,0,6,75000,0.9,-19,0.361598,11.2252433925184
6,0,6,75000,0.9,-18,0.349887,11.2252433925184
6,0,6,75000,0.9,-17,0.337778,11.2252433925184
6,0,6,75000,0.9,-16,0.325248,11.2252433925184
6,0,6,75000,0.9,-15,0.312276,11.2252433925184
6,0,6,75000,0.9,-14,0.298837,11.2252433925184
6,0,6,75000,0.9,-13,0.284901,11.2252433925184
6,0,6,75000,0.9,-12,0.27043,11.2252433925184
6,0,6,75000,0.9,-11,0.255388,11.2252433925184
6,0,6,75000,0.9,-10,0.239733,11.2252433925184
6,0,6,75000,0.9,-9,0.223447,11.2252433925184
6,0,6,75000,0.9,-8,0.206489,11.2252433925184
6,0,6,75000,0.9,-7,0.188827,11.2252433925184
6,0,6,75000,0.9,-6,0.170474,11.2252433925184
6,0,6,75000,0.9,-5,0.15133,11.2252433925184
6,0,6,75000,0.9,-4,0.119667,11.2252433925184
6,0,6,75000,0.9,-3,0.080612,11.2252433925184
6,0,6,75000,0.9,-2,0.056277,11.2252433925184
6,0,6,75000,0.9,-1,0.027633,11.2252433925184
6,0,6,75000,0.9,0,-0.000239,11.2252433925184
6,0,6,75000,0.9,1,-0.028258,11.2252433925184
6,0,6,75000,0.9,2,-0.056777,11.2252433925184
6,0,6,75000,0.9,3,-0.080701,11.2252433925184
6,0,6,75000,0.9,4,-0.11954,11.2252433925184
6,0,6,75000,0.9,5,-0.151183,11.2252433925184
6,0,6,75000,0.9,6,-0.170354,11.2252433925184
6,0,6,75000,0.9,7,-0.188749,11.2252433925184
6,0,6,75000,0.9,8,-0.206456,11.2252433925184
6,0,6,75000,0.9,9,-0.22344,11.2252433925184
6,0,6,75000,0.9,10,-0.23972,11.2252433925184
6,0,6,75000,0.9,11,-0.255345,11.2252433925184
