Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
4415,0.65,500000,41,0.021541,0.000759,0.027556,0.00394,2.1e-05,0.004557,0.002692,1e-05,0.003236
4415,0.65,1000000,41,0.023832,0.000904,0.030062,0.003981,2.2e-05,0.004725,0.002935,1.2e-05,0.003482
4415,0.65,2000000,41,0.02463,0.000974,0.031206,0.00441,2.8e-05,0.005298,0.003252,1.5e-05,0.003923
4415,0.65,4000000,41,0.023892,0.000817,0.028584,0.004326,2.6e-05,0.005068,0.003349,1.6e-05,0.004009
4415,0.65,8000000,41,0.023897,0.000757,0.027506,0.003445,1.7e-05,0.004158,0.002927,1.2e-05,0.003457
4415,0.7,75000,41,0.013817,0.00025,0.015815,0.004315,2.7e-05,0.005209,0.001901,5e-06,0.002122
4415,0.7,125000,41,0.014344,0.000277,0.016647,0.004322,2.7e-05,0.005224,0.001925,5e-06,0.002141
4415,0.7,250000,41,0.016073,0.000332,0.018226,0.004975,3.6e-05,0.005991,0.001882,5e-06,0.002286
4415,0.7,500000,41,0.022261,0.000596,0.024407,0.004439,2.8e-05,0.005317,0.001895,5e-06,0.002272
4415,0.7,1000000,41,0.024057,0.000707,0.026591,0.004301,2.7e-05,0.005224,0.002066,6e-06,0.002418
4415,0.7,2000000,41,0.024269,0.000727,0.026965,0.004616,3.4e-05,0.005803,0.00224,6e-06,0.002535
4415,0.7,4000000,41,0.022759,0.000653,0.025559,0.004644,3.3e-05,0.005727,0.002399,7e-06,0.002706
4415,0.7,8000000,41,0.020663,0.000534,0.023117,0.004078,2.5e-05,0.005011,0.002224,7e-06,0.002631
4415,0.75,75000,41,0.022688,0.000853,0.029203,0.004126,2.4e-05,0.004904,0.006069,7.3e-05,0.008532
4415,0.75,125000,41,0.030007,0.001599,0.039992,0.003609,2e-05,0.004435,0.008175,0.000131,0.011441
4415,0.75,250000,41,0.029593,0.001642,0.040522,0.003961,2.6e-05,0.005089,0.007824,0.000113,0.010625
4415,0.75,500000,41,0.027075,0.001156,0.033997,0.003456,1.9e-05,0.004386,0.005977,6.2e-05,0.007846
4415,0.75,1000000,41,0.026187,0.00105,0.032399,0.00352,2e-05,0.004483,0.005797,5.9e-05,0.007667
4415,0.75,2000000,41,0.024681,0.000893,0.029882,0.00373,2.2e-05,0.004671,0.005485,4.9e-05,0.007014
4415,0.75,4000000,41,0.025596,0.000895,0.02992,0.003942,2.2e-05,0.004738,0.005088,4.4e-05,0.006646
4415,0.75,8000000,41,0.028308,0.001061,0.032575,0.003572,1.7e-05,0.004146,0.005119,4.7e-05,0.006854
4415,0.8,75000,41,0.014514,0.000428,0.020681,0.004474,2.9e-05,0.005422,0.004027,3e-05,0.005506
4415,0.8,125000,41,0.020339,0.000724,0.026898,0.004106,2.5e-05,0.005001,0.005622,5.6e-05,0.007483
4415,0.8,250000,41,0.021736,0.000809,0.028438,0.004165,2.4e-05,0.004913,0.005299,5.1e-05,0.007119
4415,0.8,500000,41,0.018097,0.000533,0.02308,0.003143,1.7e-05,0.004096,0.003744,2.2e-05,0.004684
4415,0.8,1000000,41,0.017629,0.000561,0.023684,0.002913,1.5e-05,0.003836,0.00322,1.6e-05,0.004055
